file_name,alloy,card,n_labeled,n_rows,frac_labeled
AA5xxx Card - 001A.docx,AA5xxx,001A,0,1,0.0
AA5xxx Card - 001B.docx,AA5xxx,001B,0,1,0.0
AA5xxx Card - 001C.docx,AA5xxx,001C,0,1,0.0
AA5xxx Card - 001D.docx,AA5xxx,001D,0,1,0.0
AA5xxx Card - 001E.docx,AA5xxx,001E,0,1,0.0
AA5xxx Card - 001F.docx,AA5xxx,001F,0,1,0.0
AA5xxx Card - 001G.docx,AA5xxx,001G,0,1,0.0
AA5xxx Card - 002A.docx,AA5xxx,002A,1,1,1.0
AA5xxx Card - 002B.docx,AA5xxx,002B,1,1,1.0
AA5xxx Card - 002C.docx,AA5xxx,002C,1,1,1.0
AA5xxx Card - 002D.docx,AA5xxx,002D,1,1,1.0
AA5xxx Card - 002E.docx,AA5xxx,002E,1,1,1.0
AA5xxx Card - 002F.docx,AA5xxx,002F,1,1,1.0
AA5xxx Card - 002G.docx,AA5xxx,002G,1,1,1.0
AA5xxx Card - 003A.docx,AA5xxx,003A,1,1,1.0
AA5xxx Card - 003B.docx,AA5xxx,003B,1,1,1.0
AA5xxx Card - 003C.docx,AA5xxx,003C,1,1,1.0
AA5xxx Card - 003D.docx,AA5xxx,003D,1,1,1.0
AA5xxx Card - 004A.docx,AA5xxx,004A,0,1,0.0
AA5xxx Card - 004B.docx,AA5xxx,004B,0,1,0.0
AA5xxx Card - 004C.docx,AA5xxx,004C,0,1,0.0
AA5xxx Card - 004D.docx,AA5xxx,004D,0,1,0.0
AA5xxx Card - 005A.docx,AA5xxx,005A,0,1,0.0
AA5xxx Card - 005B.docx,AA5xxx,005B,0,1,0.0
AA5xxx Card - 005C.docx,AA5xxx,005C,0,1,0.0
AA5xxx Card - 005D.docx,AA5xxx,005D,0,1,0.0
AA5xxx Card - 005E.docx,AA5xxx,005E,0,1,0.0
AA5xxx Card - 006A.docx,AA5xxx,006A,0,1,0.0
AA5xxx Card - 006B.docx,AA5xxx,006B,0,1,0.0
AA5xxx Card - 006C.docx,AA5xxx,006C,0,1,0.0
AA5xxx Card - 006D.docx,AA5xxx,006D,0,1,0.0
AA5xxx Card - 006E.docx,AA5xxx,006E,0,1,0.0
AA5xxx Card - 006F.docx,AA5xxx,006F,0,1,0.0
AA5xxx Card - 007A.docx,AA5xxx,007A,0,1,0.0
AA5xxx Card - 007B.docx,AA5xxx,007B,0,1,0.0
AA5xxx Card - 007C.docx,AA5xxx,007C,0,1,0.0
AA5xxx Card - 007D.docx,AA5xxx,007D,0,1,0.0
AA5xxx Card - 007E.docx,AA5xxx,007E,0,1,0.0
AA5xxx Card - 008A.docx,AA5xxx,008A,0,1,0.0
AA5xxx Card - 008B.docx,AA5xxx,008B,0,1,0.0
AA5xxx Card - 008C.docx,AA5xxx,008C,0,1,0.0
AA5xxx Card - 008D.docx,AA5xxx,008D,0,1,0.0
AA5xxx Card - 008E.docx,AA5xxx,008E,0,1,0.0
AA5xxx Card - 008F.docx,AA5xxx,008F,0,1,0.0
AA5xxx Card - 008G.docx,AA5xxx,008G,0,1,0.0
AA5xxx Card - 008H.docx,AA5xxx,008H,0,1,0.0
AA5xxx Card - 008I.docx,AA5xxx,008I,0,1,0.0
AA5xxx Card - 008J.docx,AA5xxx,008J,0,1,0.0
AA5xxx Card - 008K.docx,AA5xxx,008K,0,1,0.0
AA5xxx Card - 008L.docx,AA5xxx,008L,0,1,0.0
AA5xxx Card - 008M.docx,AA5xxx,008M,0,1,0.0
AA5xxx Card - 008N.docx,AA5xxx,008N,0,1,0.0
AA5xxx Card - 009A.docx,AA5xxx,009A,0,1,0.0
AA5xxx Card - 009B.docx,AA5xxx,009B,0,1,0.0
AA5xxx Card - 009C.docx,AA5xxx,009C,0,1,0.0
AA5xxx Card - 009D.docx,AA5xxx,009D,0,1,0.0
AA5xxx Card - 009E.docx,AA5xxx,009E,0,1,0.0
AA5xxx Card - 010A.docx,AA5xxx,010A,0,1,0.0
AA5xxx Card - 010B.docx,AA5xxx,010B,0,1,0.0
AA5xxx Card - 010C.docx,AA5xxx,010C,0,1,0.0
AA5xxx Card - 010D.docx,AA5xxx,010D,0,1,0.0
AA5xxx Card - 010E.docx,AA5xxx,010E,0,1,0.0
AA5xxx Card - 011A.docx,AA5xxx,011A,0,1,0.0
AA5xxx Card - 011B.docx,AA5xxx,011B,0,1,0.0
AA5xxx Card - 011C.docx,AA5xxx,011C,0,1,0.0
AA5xxx Card - 011D.docx,AA5xxx,011D,0,1,0.0
AA5xxx Card - 011E.docx,AA5xxx,011E,0,1,0.0
AA5xxx Card - 012A.docx,AA5xxx,012A,0,1,0.0
AA5xxx Card - 012B.docx,AA5xxx,012B,0,1,0.0
AA5xxx Card - 012C.docx,AA5xxx,012C,0,1,0.0
AA5xxx Card - 012D.docx,AA5xxx,012D,0,1,0.0
AA5xxx Card - 012E.docx,AA5xxx,012E,0,1,0.0
AA5xxx Card - 012F.docx,AA5xxx,012F,0,1,0.0
AA5xxx Card - 012G.docx,AA5xxx,012G,0,1,0.0
AA5xxx Card - 013A.docx,AA5xxx,013A,0,1,0.0
AA5xxx Card - 013B.docx,AA5xxx,013B,0,1,0.0
AA5xxx Card - 013C.docx,AA5xxx,013C,0,1,0.0
AA5xxx Card - 013D.docx,AA5xxx,013D,0,1,0.0
AA5xxx Card - 013E.docx,AA5xxx,013E,0,1,0.0
AA5xxx Card - 013F.docx,AA5xxx,013F,0,1,0.0
AA5xxx Card - 013G.docx,AA5xxx,013G,0,1,0.0
AA5xxx Card - 013H.docx,AA5xxx,013H,0,1,0.0
AA5xxx Card - 013I.docx,AA5xxx,013I,0,1,0.0
AA5xxx Card - 013J.docx,AA5xxx,013J,0,1,0.0
AA5xxx Card - 013K.docx,AA5xxx,013K,0,1,0.0
AA5xxx Card - 013L.docx,AA5xxx,013L,0,1,0.0
AA5xxx Card - 013M.docx,AA5xxx,013M,0,1,0.0
AA5xxx Card - 013N.docx,AA5xxx,013N,0,1,0.0
AA5xxx Card - 014A.docx,AA5xxx,014A,0,1,0.0
AA5xxx Card - 014B.docx,AA5xxx,014B,0,1,0.0
AA5xxx Card - 014C.docx,AA5xxx,014C,0,1,0.0
AA5xxx Card - 014D.docx,AA5xxx,014D,0,1,0.0
AA5xxx Card - 015A.docx,AA5xxx,015A,0,1,0.0
AA5xxx Card - 015B.docx,AA5xxx,015B,0,1,0.0
AA5xxx Card - 015C.docx,AA5xxx,015C,0,1,0.0
AA5xxx Card - 015D.docx,AA5xxx,015D,0,1,0.0
AA5xxx Card - 016A.docx,AA5xxx,016A,0,1,0.0
AA5xxx Card - 017A.docx,AA5xxx,017A,0,1,0.0
AA5xxx Card - 017B.docx,AA5xxx,017B,0,1,0.0
AA5xxx Card - 017C.docx,AA5xxx,017C,0,1,0.0
AA5xxx Card - 017D.docx,AA5xxx,017D,0,1,0.0
AA5xxx Card - 018A.docx,AA5xxx,018A,0,1,0.0
AA5xxx Card - 018B.docx,AA5xxx,018B,0,1,0.0
AA5xxx Card - 018C.docx,AA5xxx,018C,0,1,0.0
AA5xxx Card - 018D.docx,AA5xxx,018D,0,1,0.0
AA5xxx Card - 018E.docx,AA5xxx,018E,0,1,0.0
AA5xxx Card - 019A.docx,AA5xxx,019A,0,1,0.0
AA5xxx Card - 019B.docx,AA5xxx,019B,0,1,0.0
AA5xxx Card - 019C.docx,AA5xxx,019C,0,1,0.0
AA5xxx Card - 019D.docx,AA5xxx,019D,0,1,0.0
AA5xxx Card - 019E.docx,AA5xxx,019E,0,1,0.0
AA5xxx Card - 020A.docx,AA5xxx,020A,1,1,1.0
AA5xxx Card - 020B.docx,AA5xxx,020B,1,1,1.0
AA5xxx Card - 020C.docx,AA5xxx,020C,1,1,1.0
AA5xxx Card - 020D.docx,AA5xxx,020D,1,1,1.0
AA5xxx Card - 020E.docx,AA5xxx,020E,1,1,1.0
AA5xxx Card - 020F.docx,AA5xxx,020F,1,1,1.0
AA5xxx Card - 020G.docx,AA5xxx,020G,1,1,1.0
AA5xxx Card - 020H.docx,AA5xxx,020H,1,1,1.0
AA5xxx Card - 020I.docx,AA5xxx,020I,1,1,1.0
AA5xxx Card - 021A.docx,AA5xxx,021A,1,1,1.0
AA5xxx Card - 021B.docx,AA5xxx,021B,1,1,1.0
AA5xxx Card - 021C.docx,AA5xxx,021C,1,1,1.0
AA5xxx Card - 021D.docx,AA5xxx,021D,1,1,1.0
AA5xxx Card - 022A.docx,AA5xxx,022A,1,1,1.0
AA5xxx Card - 022B.docx,AA5xxx,022B,1,1,1.0
AA5xxx Card - 022C.docx,AA5xxx,022C,1,1,1.0
AA5xxx Card - 022D.docx,AA5xxx,022D,1,1,1.0
AA5xxx Card - 022E.docx,AA5xxx,022E,1,1,1.0
AA5xxx Card - 022F.docx,AA5xxx,022F,1,1,1.0
AA5xxx Card - 022G.docx,AA5xxx,022G,1,1,1.0
AA5xxx Card - 022H.docx,AA5xxx,022H,1,1,1.0
AA5xxx Card - 022I.docx,AA5xxx,022I,1,1,1.0
AA5xxx Card - 022J.docx,AA5xxx,022J,1,1,1.0
AA5xxx Card - 022K.docx,AA5xxx,022K,1,1,1.0
AA5xxx Card - 022L.docx,AA5xxx,022L,1,1,1.0
AA5xxx Card - 023A.docx,AA5xxx,023A,0,1,0.0
AA5xxx Card - 023B.docx,AA5xxx,023B,0,1,0.0
AA5xxx Card - 023C.docx,AA5xxx,023C,0,1,0.0
AA5xxx Card - 023D.docx,AA5xxx,023D,0,1,0.0
AA5xxx Card - 024A.docx,AA5xxx,024A,1,1,1.0
AA5xxx Card - 025A.docx,AA5xxx,025A,1,1,1.0
AA5xxx Card - 026A.docx,AA5xxx,026A,0,1,0.0
AA5xxx Card - 026B.docx,AA5xxx,026B,0,1,0.0
AA5xxx Card - 026C.docx,AA5xxx,026C,0,1,0.0
AA5xxx Card - 026D.docx,AA5xxx,026D,0,1,0.0
AA5xxx Card - 026E.docx,AA5xxx,026E,0,1,0.0
AA5xxx Card - 026F.docx,AA5xxx,026F,0,1,0.0
AA5xxx Card - 026G.docx,AA5xxx,026G,0,1,0.0
AA5xxx Card - 026H.docx,AA5xxx,026H,0,1,0.0
AA5xxx Card - 026I.docx,AA5xxx,026I,0,1,0.0
AA5xxx Card - 026J.docx,AA5xxx,026J,0,1,0.0
AA5xxx Card - 026K.docx,AA5xxx,026K,0,1,0.0
AA5xxx Card - 026L.docx,AA5xxx,026L,0,1,0.0
AA5xxx Card - 026M.docx,AA5xxx,026M,0,1,0.0
AA5xxx Card - 026N.docx,AA5xxx,026N,0,1,0.0
AA5xxx Card - 026O.docx,AA5xxx,026O,0,1,0.0
AA5xxx Card - 026P.docx,AA5xxx,026P,0,1,0.0
AA5xxx Card - 026Q.docx,AA5xxx,026Q,0,1,0.0
AA5xxx Card - 026R.docx,AA5xxx,026R,0,1,0.0
AA5xxx Card - 026S.docx,AA5xxx,026S,0,1,0.0
AA5xxx Card - 027A.docx,AA5xxx,027A,0,1,0.0
AA5xxx Card - 027B.docx,AA5xxx,027B,0,1,0.0
AA5xxx Card - 027C.docx,AA5xxx,027C,0,1,0.0
AA5xxx Card - 027D.docx,AA5xxx,027D,0,1,0.0
AA5xxx Card - 027E.docx,AA5xxx,027E,0,1,0.0
AA5xxx Card - 027F.docx,AA5xxx,027F,0,1,0.0
AA5xxx Card - 027G.docx,AA5xxx,027G,0,1,0.0
AA5xxx Card - 027H.docx,AA5xxx,027H,0,1,0.0
AA5xxx Card - 027I.docx,AA5xxx,027I,0,1,0.0
AA5xxx Card - 027J.docx,AA5xxx,027J,0,1,0.0
AA5xxx Card - 027K.docx,AA5xxx,027K,0,1,0.0
AA5xxx Card - 027L.docx,AA5xxx,027L,0,1,0.0
AA5xxx Card - 027M.docx,AA5xxx,027M,0,1,0.0
AA5xxx Card - 027N.docx,AA5xxx,027N,0,1,0.0
AA5xxx Card - 027O.docx,AA5xxx,027O,0,1,0.0
AA5xxx Card - 027P.docx,AA5xxx,027P,0,1,0.0
AA5xxx Card - 027Q.docx,AA5xxx,027Q,0,1,0.0
AA5xxx Card - 027R.docx,AA5xxx,027R,0,1,0.0
AA5xxx Card - 027S.docx,AA5xxx,027S,0,1,0.0
AA5xxx Card - 028A.docx,AA5xxx,028A,0,1,0.0
AA5xxx Card - 028B.docx,AA5xxx,028B,0,1,0.0
AA5xxx Card - 028C.docx,AA5xxx,028C,0,1,0.0
AA5xxx Card - 028D.docx,AA5xxx,028D,0,1,0.0
AA5xxx Card - 028E.docx,AA5xxx,028E,0,1,0.0
AA5xxx Card - 028F.docx,AA5xxx,028F,0,1,0.0
AA5xxx Card - 029A.docx,AA5xxx,029A,0,1,0.0
AA5xxx Card - 029B.docx,AA5xxx,029B,0,1,0.0
AA5xxx Card - 029C.docx,AA5xxx,029C,0,1,0.0
AA5xxx Card - 029D.docx,AA5xxx,029D,0,1,0.0
AA5xxx Card - 029E.docx,AA5xxx,029E,0,1,0.0
AA5xxx Card - 030A.docx,AA5xxx,030A,0,1,0.0
AA5xxx Card - 031A.docx,AA5xxx,031A,0,1,0.0
AA5xxx Card - 031B.docx,AA5xxx,031B,0,1,0.0
AA5xxx Card - 032A.docx,AA5xxx,032A,0,1,0.0
AA5xxx Card - 032B.docx,AA5xxx,032B,0,1,0.0
AA5xxx Card - 032C.docx,AA5xxx,032C,0,1,0.0
AA5xxx Card - 032D.docx,AA5xxx,032D,0,1,0.0
AA5xxx Card - 033A.docx,AA5xxx,033A,0,1,0.0
AA5xxx Card - 033B.docx,AA5xxx,033B,0,1,0.0
AA5xxx Card - 034A.docx,AA5xxx,034A,0,1,0.0
AA5xxx Card - 034B.docx,AA5xxx,034B,0,1,0.0
AA5xxx Card - 034C.docx,AA5xxx,034C,0,1,0.0
AA5xxx Card - 034D.docx,AA5xxx,034D,0,1,0.0
AA5xxx Card - 034E.docx,AA5xxx,034E,0,1,0.0
AA5xxx Card - 034F.docx,AA5xxx,034F,0,1,0.0
AA5xxx Card - 035A.docx,AA5xxx,035A,1,1,1.0
AA5xxx Card - 035B.docx,AA5xxx,035B,0,1,0.0
AA5xxx Card - 035C.docx,AA5xxx,035C,0,1,0.0
AA5xxx Card - 035D.docx,AA5xxx,035D,0,1,0.0
